Mineral Name,Mineral Name (plain),Valence Chemistry,IMA Chemistry,IMA Number,Country of Type Locality,IMA Status,isMineral
Fluoro-pedrizite,Fluoro-pedrizite,NaLi2(Mg2Al2Li)Si8O22F2,NaLi2(Mg2Al2Li)Si8O22F2,"IMA2004-002, IMA2012 s.p.",Russia,"Approved,Redefined",1
Fluorophlogopite,Fluorophlogopite,KMg3(Si3Al)O10F2,KMg3(Si3Al)O10F2,IMA2006-011,Italy,Approved,1
Fluoro-richterite,Fluoro-richterite,Na(NaCa)Mg5Si8O22F2,Na(NaCa)Mg5Si8O22F2,"IMA1992-020, IMA2012 s.p.",Russia,"Approved,Redefined",1
Fluoro-riebeckite,Fluoro-riebeckite,[box]Na2(Fe2+3Fe3+2)Si8O22F2,[box]Na2(Fe2+3Fe3+2)Si8O22F2,IMA2012 s.p.,USA,"Approved,Redefined",1
Fluoro-taramite,Fluoro-taramite,Na(NaCa)(Mg3Al2)(Si6Al2)O22F2,Na(NaCa)(Mg3Al2)(Si6Al2)O22F2,"IMA2006-025, IMA2012 s.p.",China,"Approved,Redefined",1
Fluorotetraferriphlogopite,Fluorotetraferriphlogopite,KMg3Fe3+Si3O10F2,KMg3Fe3+Si3O10F2,IMA2010-002,China,Approved,1
Fluoro-tremolite,Fluoro-tremolite,[box]Ca2Mg5Si8O22F2,[box]Ca2Mg5Si8O22F2,IMA2016-018,USA,Approved,1
Fluorowardite,Fluorowardite,NaAl3(PO4)2(OH)2F2·2H2O,NaAl3(PO4)2F2(OH)2·2H2O,IMA2012-016,USA,Approved,1
Fluorphosphohedyphane,Fluorphosphohedyphane,Ca2Pb3(PO4)3F,Ca2Pb2+3(PO4)3F,IMA2008-068,USA,"Approved,Renamed",1
Fluorpyromorphite,Fluorpyromorphite,Pb5(PO4)3F,Pb2+5(PO4)3F,IMA2021-120,Russia,Approved,1
Fluor-rewitzerite,Fluor-rewitzerite,[(H2O)K]Mn2(Al2Ti)(PO4)4(OF)(H2O)10·4H2O,[(H2O)K]Mn2+2(Al2Ti4+)(PO4)4(OF)(H2O)10·4H2O,IMA2023-115,Germany,Approved,1
Fluor-rossmanite,Fluor-rossmanite,[box](Al2Li)Al6(Si6O18)(BO3)3(OH)3F,[box](Al2Li)Al6(Si6O18)(BO3)3(OH)3F,IMA2023-111,Russia,Approved,1
Fluor-schorl,Fluor-schorl,NaFe2+3Al6(Si6O18)(BO3)3(OH)3F,NaFe2+3Al6(Si6O18)(BO3)3(OH)3F,IMA2010-067,Germany / Italy,Approved,1
