kingdom,phylum,class,order,family,genus,species,subspecies,family common name,species author,species source,species common name,subspecies author,subspecies source,subspecies common name
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,pibyae,,,A. Tejedor & G. Calat.,https://www.catalogueoflife.org/data/taxon/32Q5L,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,pholidota,,,"Lehnert, F. Giraldo & A. Tejedor",https://www.catalogueoflife.org/data/taxon/32Q5J,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,phoenix,,,A. Tejedor & G. Calat.,https://www.catalogueoflife.org/data/taxon/32Q5H,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,phegopteroides,,,(Hook.) Domin,https://www.catalogueoflife.org/data/taxon/32Q5F,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,pseudoctenitoides,,,S. Maciel & J. Prado,https://www.catalogueoflife.org/data/taxon/32Q75,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,puberula,,,Sodiro,https://www.catalogueoflife.org/data/taxon/32Q7C,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,speciosa,,,Humb. & Bonpl. ex Willd.,https://www.catalogueoflife.org/data/taxon/32QBP,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,rufa,,,(Fée) Lellinger,https://www.catalogueoflife.org/data/taxon/32Q9B,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,sledgei,,,"Ranil, Pushpak. & Fraser-Jenk.",https://www.catalogueoflife.org/data/taxon/32QBG,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,sipapoensis,,,(R. M. Tryon) Lellinger,https://www.catalogueoflife.org/data/taxon/32QBF,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,singularis,,,(Stolze) Lehnert,https://www.catalogueoflife.org/data/taxon/32QBD,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,simplex,,,R. M. Tryon,https://www.catalogueoflife.org/data/taxon/32QB9,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,sagittifolia,,,(Hook.) Domin,https://www.catalogueoflife.org/data/taxon/32Q9M,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,ruiziana,,,Klotzsch,https://www.catalogueoflife.org/data/taxon/32Q9F,Cyathea,,,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,rufescens,,,(Mett. ex Kuhn) Domin,https://www.catalogueoflife.org/data/taxon/32Q9C,Cyathea,,,
